SongID,segment_num,segment_start,segment_end,duration,start_beat_idx,end_beat_idx,num_beats,num_components,seg_type
32,5,56.618666666666655,59.37066666666666,2.7520000000000024,124,130,6,4,chroma_acts
32,6,59.37066666666666,72.21333333333332,12.842666666666666,130,158,28,4,chroma_acts
32,7,72.21333333333332,85.51466666666666,13.301333333333332,158,187,29,4,chroma_acts
32,8,85.51466666666666,89.18399999999998,3.669333333333327,187,195,8,4,chroma_acts
32,9,89.18399999999998,126.845,37.661000000000016,195,276,81,4,chroma_acts
33,1,0.0,11.872,11.872,0,26,26,4,chroma_acts
33,2,11.872,45.19466666666666,33.32266666666666,26,97,71,4,chroma_acts
33,3,45.19466666666666,82.74133333333333,37.54666666666667,97,177,80,4,chroma_acts
33,4,82.74133333333333,97.76,15.018666666666675,177,209,32,4,chroma_acts
33,5,97.76,120.288,22.52799999999999,209,257,48,4,chroma_acts
33,6,120.288,134.83733333333333,14.549333333333337,257,288,31,4,chroma_acts
33,7,134.83733333333333,176.608,41.77066666666667,288,377,89,4,chroma_acts
33,8,176.608,184.787,8.179000000000002,377,393,16,4,chroma_acts
36,1,0.0,16.78933333333333,16.78933333333333,0,36,36,4,chroma_acts
36,2,16.78933333333333,36.970666666666666,20.181333333333335,36,79,43,4,chroma_acts
36,3,36.970666666666666,77.33333333333333,40.36266666666666,79,165,86,4,chroma_acts
36,4,77.33333333333333,84.37333333333333,7.040000000000006,165,180,15,4,chroma_acts
36,5,84.37333333333333,96.10666666666667,11.733333333333334,180,205,25,4,chroma_acts
36,6,96.10666666666667,126.61333333333333,30.50666666666666,205,270,65,4,chroma_acts
36,7,126.61333333333333,130.368,3.7546666666666653,270,278,8,4,chroma_acts
36,8,130.368,135.53066666666666,5.1626666666666665,278,289,11,4,chroma_acts
36,9,135.53066666666666,187.093,51.56233333333333,289,397,108,4,chroma_acts
37,1,0.0,9.717333333333332,9.717333333333332,0,14,14,4,chroma_acts
37,2,9.717333333333332,74.752,65.03466666666667,14,105,91,4,chroma_acts
37,3,74.752,84.75733333333334,10.00533333333334,105,119,14,4,chroma_acts
37,4,84.75733333333334,90.47466666666666,5.717333333333329,119,127,8,4,chroma_acts
37,5,90.47466666666666,111.91466666666666,21.439999999999998,127,157,30,4,chroma_acts
37,6,111.91466666666666,124.77866666666667,12.864000000000004,157,175,18,4,chroma_acts
